"1","AN4","Atlantic Union Conference","Y"
"2","AN44","Bermuda","N"
"3","AN48","Greater New York","N"
"4","AN4B","New York","N"
"5","AN4F","Northeastern","N"
"6","AN4I","Northern New England","N"
"7","AN4M","Southern New England","N"
"8","AN6","Seventh-day Adventist Church in Canada","Y"
"9","AN64","Alberta","N"
"10","AN68","British Columbia","N"
"11","AN6B","Manitoba-Saskatchewan","N"
"12","AN6F","Maritime","N"
"13","AN6M","Ontario","N"
"14","AN6P","Quebec","N"
"15","AN6T","Newfoundland","N"
"16","ANB","Columbia Union Conference","Y"
"17","ANB4","Allegheny East","N"
"18","ANB6","Allegheny West","N"
"19","ANB8","Chesapeake","N"
"20","ANB9","Mountain View","N"
"21","ANBB","New Jersey","N"
"22","ANBF","Ohio","N"
"23","ANBI","Pennsylvania","N"
"24","ANBM","Potomac","N"
"25","ANF","Lake Union Conference","Y"
"26","ANF4","Illinois","N"
"27","ANF8","Indiana","N"
"28","ANFB","Lake Region","N"
"29","ANFF","Michigan","N"
"30","ANFI","Wisconsin","N"
"31","ANG","Mid-America Union Conference","Y"
"32","ANG4","Central States","N"
"33","ANG6","Dakota","N"
"34","ANGB","Iowa-Missouri","N"
"35","ANGF","Kansas-Nebraska","N"
"36","ANGI","Minnesota","N"
"37","ANGM","Rocky Mountain","N"
"38","ANI","North Pacific Union Conference","Y"
"39","ANI4","Alaska","N"
"40","ANI8","Idaho","N"
"41","ANIB","Montana","N"
"42","ANIF","Oregon","N"
"43","ANII","Upper Columbia","N"
"44","ANIM","Washington","N"
"45","ANNG","Guam-Micronesia Mission","N"
"46","ANP","Pacific Union Conference","Y"
"47","ANP4","Arizona","N"
"48","ANP8","Central California","N"
"49","ANPB","Hawaii","N"
"50","ANPF","Nevada-Utah","N"
"51","ANPI","Northern California","N"
"52","ANPM","Southeastern California","N"
"53","ANPP","Southern California","N"
"54","ANT","Southern Union Conference","Y"
"55","ANT8","Carolina","N"
"56","ANTB","Florida","N"
"57","ANTF","Georgia-Cumberland","N"
"58","ANTG","Gulf States","N"
"59","ANTI","Kentucky-Tennessee","N"
"60","ANTM","South Atlantic","N"
"61","ANTP","South Central","N"
"62","ANTT","Southeastern","N"
"63","ANW","Southwestern Union Conference","Y"
"64","ANW4","Arkansas-Louisiana","N"
"65","ANW8","Oklahoma","N"
"66","ANWB","Southwest Region","N"
"67","ANWF","Texas","N"
"68","ANWI","Texico","N"
